<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAUUSD,20260120,1800,4758.91,4766.05,4752.48,4759.20,2388040
XAUUSD,20260120,1900,4759.20,4766.15,4756.23,4760.56,2137890
XAUUSD,20260120,2000,4760.51,4760.99,4747.05,4756.40,2830740
XAUUSD,20260120,2100,4756.41,4763.77,4756.06,4762.94,865620
XAUUSD,20260120,2300,4761.38,4780.90,4756.58,4775.63,879210
XAUUSD,20260121,0000,4775.60,4787.49,4770.20,4784.32,1047630
XAUUSD,20260121,0100,4784.31,4843.93,4783.31,4835.05,3357950
XAUUSD,20260121,0200,4835.15,4841.94,4817.01,4836.47,2348134
XAUUSD,20260121,0300,4836.45,4849.55,4826.80,4844.73,2166860
XAUUSD,20260121,0400,4844.68,4870.69,4837.69,4865.80,1916630
XAUUSD,20260121,0500,4865.69,4878.06,4858.60,4869.74,1953840
XAUUSD,20260121,0600,4869.81,4888.07,4845.45,4847.27,2533030
XAUUSD,20260121,0700,4847.26,4856.88,4832.38,4855.06,2366060
XAUUSD,20260121,0800,4855.07,4869.38,4851.32,4854.44,1542500
XAUUSD,20260121,0900,4854.45,4876.97,4852.11,4860.18,1600030
XAUUSD,20260121,1000,4860.14,4866.56,4859.23,4861.90,1187830
XAUUSD,20260121,1100,4861.90,4871.31,4854.98,4866.70,1219560
XAUUSD,20260121,1200,4866.73,4870.72,4855.41,4864.98,1307550
XAUUSD,20260121,1300,4865.31,4880.14,4858.26,4879.22,2179590
XAUUSD,20260121,1400,4879.19,4880.64,4839.11,4851.60,4148980
XAUUSD,20260121,1500,4851.52,4868.57,4812.41,4847.51,4202080
XAUUSD,20260121,1600,4847.53,4855.44,4819.61,4833.27,3185290
XAUUSD,20260121,1700,4833.30,4834.14,4802.32,4826.13,3143220
XAUUSD,20260121,1800,4826.15,4850.44,4819.52,4850.10,3082330
XAUUSD,20260121,1900,4850.13,4853.88,4755.35,4780.99,4292500
XAUUSD,20260121,2000,4780.86,4827.68,4771.91,4826.35,4178560
XAUUSD,20260121,2100,4826.31,4839.53,4813.01,4831.69,1456020
XAUUSD,20260121,2300,4832.69,4833.41,4777.27,4777.91,1368230
XAUUSD,20260122,0000,4777.88,4798.66,4777.80,4797.98,1281990
XAUUSD,20260122,0100,4797.95,4809.40,4772.19,4797.84,2950810
XAUUSD,20260122,0200,4797.64,4798.16,4774.53,4788.85,2332220
XAUUSD,20260122,0300,4788.85,4796.56,4784.06,4796.36,1813690
XAUUSD,20260122,0400,4796.40,4800.24,4793.61,4797.31,1345900
XAUUSD,20260122,0500,4797.27,4821.27,4793.51,4821.11,1505610
XAUUSD,20260122,0600,4821.15,4829.19,4816.20,4826.40,1643240
XAUUSD,20260122,0700,4826.60,4839.35,4825.57,4832.48,1116420
XAUUSD,20260122,0800,4832.47,4835.32,4821.98,4830.44,1305860
XAUUSD,20260122,0900,4830.49,4837.93,4813.60,4822.94,1285920
XAUUSD,20260122,1000,4822.97,4831.65,4819.31,4828.80,934570
XAUUSD,20260122,1100,4828.84,4836.15,4824.44,4831.02,1019220
XAUUSD,20260122,1200,4830.98,4832.36,4818.61,4819.40,1380080
