time,open,high,low,close,volume
18.09.2024 11:00:00.000 UTC,141.604,141.912,141.558,141.846,23016.49
18.09.2024 12:00:00.000 UTC,141.846,142.058,141.812,141.925,26257.67
18.09.2024 13:00:00.000 UTC,141.923,141.923,141.677,141.76,29137.31
18.09.2024 14:00:00.000 UTC,141.758,142.066,141.696,142,32088.08
18.09.2024 15:00:00.000 UTC,142.003,142.035,141.862,141.934,27587.03
18.09.2024 16:00:00.000 UTC,141.933,141.989,141.839,141.882,22266.97
18.09.2024 17:00:00.000 UTC,141.882,142.063,141.808,141.902,24024.77
18.09.2024 18:00:00.000 UTC,141.902,141.902,140.435,141.127,77208.67
18.09.2024 19:00:00.000 UTC,141.131,142.711,141.127,142.439,66632.39
18.09.2024 20:00:00.000 UTC,142.439,142.491,142.202,142.269,35386.21
18.09.2024 21:00:00.000 UTC,142.261,142.292,142.105,142.105,860.49
18.09.2024 22:00:00.000 UTC,142.105,142.208,141.876,142.107,8986.33
18.09.2024 23:00:00.000 UTC,142.107,142.751,142.104,142.699,20998.04
19.09.2024 00:00:00.000 UTC,142.698,143.591,142.698,143.486,40264.37
19.09.2024 01:00:00.000 UTC,143.489,143.944,143.418,143.727,27404.66
19.09.2024 02:00:00.000 UTC,143.728,143.764,143.169,143.202,35258.84
19.09.2024 03:00:00.000 UTC,143.201,143.32,142.948,143.164,30729.44
19.09.2024 04:00:00.000 UTC,143.168,143.292,143.052,143.177,23200.72
19.09.2024 05:00:00.000 UTC,143.178,143.2,142.552,142.572,21279.74
19.09.2024 06:00:00.000 UTC,142.568,142.756,142.094,142.243,33346.81
19.09.2024 07:00:00.000 UTC,142.244,142.548,142.039,142.506,40518.35
19.09.2024 08:00:00.000 UTC,142.508,142.917,142.455,142.791,37254.74
19.09.2024 09:00:00.000 UTC,142.791,142.976,142.682,142.757,34335.48
19.09.2024 10:00:00.000 UTC,142.756,143.17,142.727,142.829,28198.26
19.09.2024 11:00:00.000 UTC,142.827,143.253,142.761,142.917,31509.69
19.09.2024 12:00:00.000 UTC,142.919,143.76,142.706,143.755,53689.85
19.09.2024 13:00:00.000 UTC,143.755,143.766,143.276,143.327,54392.11
19.09.2024 14:00:00.000 UTC,143.324,143.337,142.802,142.913,46364.19
19.09.2024 15:00:00.000 UTC,142.918,142.984,142.728,142.883,23887.52
19.09.2024 16:00:00.000 UTC,142.882,143.133,142.854,143.035,22801.13
19.09.2024 17:00:00.000 UTC,143.036,143.115,142.901,142.919,15774.74
19.09.2024 18:00:00.000 UTC,142.914,142.931,142.526,142.658,18620.12
19.09.2024 19:00:00.000 UTC,142.66,142.743,142.572,142.632,18427.48
19.09.2024 20:00:00.000 UTC,142.633,142.673,142.524,142.61,17186.69
19.09.2024 21:00:00.000 UTC,142.605,142.64,142.504,142.616,300.03
19.09.2024 22:00:00.000 UTC,142.614,142.665,142.519,142.66,4406.47
19.09.2024 23:00:00.000 UTC,142.66,142.923,142.646,142.862,14562.05
20.09.2024 00:00:00.000 UTC,142.86,142.892,142.405,142.405,26704.12
20.09.2024 01:00:00.000 UTC,142.405,142.476,142.137,142.396,27190.4
20.09.2024 02:00:00.000 UTC,142.396,142.773,142.298,142.462,12563.18
20.09.2024 03:00:00.000 UTC,142.462,142.481,141.952,142.289,19313.7
20.09.2024 04:00:00.000 UTC,142.29,142.308,142.099,142.184,15614.61
20.09.2024 05:00:00.000 UTC,142.184,142.37,142.142,142.278,17066.85
20.09.2024 06:00:00.000 UTC,142.282,143.042,141.736,142.979,47437.52
20.09.2024 07:00:00.000 UTC,142.98,143.644,142.817,143.628,41470.95
20.09.2024 08:00:00.000 UTC,143.628,143.88,143.477,143.807,44112.79
20.09.2024 09:00:00.000 UTC,143.807,143.943,143.644,143.936,35521.62
20.09.2024 10:00:00.000 UTC,143.937,144.267,143.771,144.255,25906.31
20.09.2024 11:00:00.000 UTC,144.258,144.43,144.211,144.216,31975.02
20.09.2024 12:00:00.000 UTC,144.217,144.285,143.575,143.666,41918.29
20.09.2024 13:00:00.000 UTC,143.668,144.09,143.466,144.072,48756.18
20.09.2024 14:00:00.000 UTC,144.074,144.445,144.026,144.42,45703.83
20.09.2024 15:00:00.000 UTC,144.423,144.495,143.847,143.907,48212.75
20.09.2024 16:00:00.000 UTC,143.911,143.93,143.647,143.753,35159.51
20.09.2024 17:00:00.000 UTC,143.752,144.151,143.738,143.975,27123.41
20.09.2024 18:00:00.000 UTC,143.975,143.977,143.8,143.87,26117.55
20.09.2024 19:00:00.000 UTC,143.872,143.92,143.719,143.917,31942.83
20.09.2024 20:00:00.000 UTC,143.918,144.048,143.808,143.808,17836.33
22.09.2024 21:00:00.000 UTC,143.754,144.045,143.669,143.823,821.04
22.09.2024 22:00:00.000 UTC,143.823,144.039,143.672,143.919,9375.95
22.09.2024 23:00:00.000 UTC,143.92,144.089,143.806,144.079,10366.93
23.09.2024 00:00:00.000 UTC,144.086,144.258,144.025,144.12,17703.28
23.09.2024 01:00:00.000 UTC,144.12,144.459,144.12,144.37,19841.03
